"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.938457126E2,8.176496506E0,6.334014237E-2,7.156257629E0
3.938957126E2,5.676570892E0,-1.839648038E-1,5.990045547E0
3.939457126E2,7.038971424E0,-8.366859704E-2,6.443806648E0
3.939957126E2,6.727773190E0,-1.075586490E-2,6.642996788E0
3.940457126E2,7.840843678E0,-7.842893898E-2,7.423463821E0
3.940957126E2,7.979917526E0,-2.152763121E-2,7.474234581E0
3.941457126E2,7.239311218E0,-9.904880077E-2,7.075514793E0
3.941957126E2,6.760002136E0,-1.191060245E-2,6.337641239E0
3.942457126E2,5.909551144E0,-4.467169940E-2,5.941734314E0
3.942957126E2,6.835570335E0,-9.676569700E-2,6.173951149E0
3.943457126E2,5.917881012E0,-1.676700637E-2,5.972343922E0
3.943957126E2,6.809209347E0,3.724953905E-2,6.330968857E0
3.944457126E2,6.456421852E0,-9.575397521E-2,6.186525822E0
3.944957126E2,6.625275135E0,-1.555872560E-1,6.463819981E0
3.945457126E2,7.886602402E0,-1.926604658E-3,7.513765335E0
3.945957126E2,6.796733856E0,4.492507130E-2,6.365410805E0
3.946457126E2,7.087029457E0,-1.197774112E-1,7.028633118E0
3.946957126E2,7.426548004E0,-7.350566983E-2,6.800850868E0
3.947457126E2,6.224961281E0,-3.644014150E-2,6.225911140E0
3.947957126E2,7.069270134E0,-3.791777417E-2,6.848692894E0
3.948457126E2,9.012990952E0,-5.534838513E-2,8.036033630E0
3.948957126E2,7.274797440E0,-7.127206773E-2,7.367150307E0
3.949457126E2,7.440440178E0,1.120657660E-2,6.747285843E0
3.949957126E2,6.983455658E0,-3.201666847E-2,6.941250324E0
3.950457126E2,6.874491215E0,-1.054411456E-1,6.338865280E0
3.950957126E2,6.368800163E0,-9.111589193E-2,6.250905991E0
3.951457126E2,5.874054909E0,8.458749950E-2,5.588704109E0
3.951957126E2,7.348786354E0,-6.428188086E-2,7.177453995E0
3.952457126E2,8.147192001E0,-8.141654730E-2,7.122802734E0
3.952957126E2,6.443280220E0,-3.162416071E-2,6.862454414E0
3.953457126E2,7.323451996E0,-2.750343643E-2,6.416740417E0
3.953957126E2,6.183138847E0,-1.923679113E-1,6.429889679E0
3.954457126E2,7.843120575E0,3.913110495E-2,7.060582638E0
3.954957126E2,5.831867218E0,1.238636486E-2,5.722774982E0
3.955457126E2,6.998851776E0,-1.377526522E-1,6.897383690E0
3.955957126E2,7.344502449E0,-6.751184911E-2,6.592599869E0
3.956457126E2,6.485536575E0,-4.607851431E-2,6.947817802E0
3.956957126E2,9.741567612E0,3.735763207E-2,8.425741196E0
