"Time (s)","Pressure (hPa)"
1.808858976E2,9.774862061E2
1.809358976E2,9.774865723E2
1.809858976E2,9.774869385E2
1.810358976E2,9.774873047E2
1.810858976E2,9.774879761E2
1.811358976E2,9.774884644E2
1.811858976E2,9.774890137E2
1.812358976E2,9.774896851E2
1.812858976E2,9.774900513E2
1.813358976E2,9.774903564E2
1.813858976E2,9.774905396E2
1.814358976E2,9.774906616E2
1.814858976E2,9.774909668E2
1.815358976E2,9.774910889E2
1.815858976E2,9.774910889E2
1.816358976E2,9.774910889E2
1.816858976E2,9.774910889E2
1.817358976E2,9.774910889E2
1.817858976E2,9.774910889E2
1.818358976E2,9.774910889E2
1.818858976E2,9.774910889E2
1.819358976E2,9.774910889E2
1.819858976E2,9.774910889E2
1.820358976E2,9.774910889E2
1.820858976E2,9.774910889E2
1.821358976E2,9.774910889E2
1.821858976E2,9.774910889E2
1.822358976E2,9.774910889E2
1.822858976E2,9.774910889E2
1.823358976E2,9.774910889E2
1.823858976E2,9.774910889E2
1.824358976E2,9.774910889E2
1.824858976E2,9.774910889E2
1.825358976E2,9.774910889E2
1.825858976E2,9.774910889E2
1.826358976E2,9.774910889E2
1.826858976E2,9.774910889E2
1.827358976E2,9.774910889E2
1.827858976E2,9.774910889E2
1.828358976E2,9.774910889E2
1.828858976E2,9.774910889E2
1.829358976E2,9.774910889E2
1.829858976E2,9.774910889E2
1.830358976E2,9.774910889E2
1.830858976E2,9.774910889E2
1.831358976E2,9.774906616E2
1.831858976E2,9.774903564E2
1.832358976E2,9.774900513E2
1.832858976E2,9.774896851E2
1.833358976E2,9.774894409E2
1.833858976E2,9.774890747E2
1.834358976E2,9.774887085E2
1.834858976E2,9.774884033E2
1.835358976E2,9.774880371E2
1.835858976E2,9.774876099E2
1.836358976E2,9.774871826E2
1.836858976E2,9.774868774E2
1.837358976E2,9.774864502E2
1.837858976E2,9.774861450E2
1.838358976E2,9.774857178E2
1.838858976E2,9.774852295E2
1.839358976E2,9.774849243E2
1.839858976E2,9.774844360E2
1.840358976E2,9.774840698E2
1.840858976E2,9.774837036E2
1.841358976E2,9.774832764E2
1.841858976E2,9.774830322E2
1.842358976E2,9.774826050E2
1.842858976E2,9.774821167E2
1.843358976E2,9.774815674E2
1.843858976E2,9.774808960E2
1.844358976E2,9.774801636E2
1.844858976E2,9.774795532E2
1.845358976E2,9.774790039E2
1.845858976E2,9.774782104E2
1.846358976E2,9.774774170E2
1.846858976E2,9.774769287E2
1.847358976E2,9.774764404E2
1.847858976E2,9.774757690E2
1.848358976E2,9.774750366E2
1.848858976E2,9.774743042E2
1.849358976E2,9.774737549E2
1.849858976E2,9.774730225E2
1.850358976E2,9.774722900E2
1.850858976E2,9.774714966E2
1.851358976E2,9.774709473E2
1.851858976E2,9.774702759E2
1.852358976E2,9.774694214E2
1.852858976E2,9.774685669E2
1.853358976E2,9.774678345E2
1.853858976E2,9.774671631E2
1.854358976E2,9.774663086E2
1.854858976E2,9.774656372E2
1.855358976E2,9.774650269E2
1.855858976E2,9.774644775E2
1.856358976E2,9.774639282E2
1.856858976E2,9.774632568E2
1.857358976E2,9.774627075E2
1.857858976E2,9.774622803E2
1.858358976E2,9.774616089E2
1.858858976E2,9.774611206E2
1.859358976E2,9.774604492E2
1.859858976E2,9.774598999E2
1.860358976E2,9.774593506E2
1.860858976E2,9.774588013E2
1.861358976E2,9.774583130E2
1.861858976E2,9.774575806E2
1.862358976E2,9.774567871E2
1.862858976E2,9.774562378E2
1.863358976E2,9.774556274E2
1.863858976E2,9.774550171E2
1.864358976E2,9.774542847E2
1.864858976E2,9.774535522E2
1.865358976E2,9.774530640E2
1.865858976E2,9.774525146E2
1.866358976E2,9.774518433E2
1.866858976E2,9.774510498E2
1.867358976E2,9.774504395E2
1.867858976E2,9.774495239E2
1.868358976E2,9.774486694E2
1.868858976E2,9.774476929E2
1.869358976E2,9.774470215E2
1.869858976E2,9.774463501E2
1.870358976E2,9.774456787E2
1.870858976E2,9.774449463E2
1.871358976E2,9.774440918E2
1.871858976E2,9.774431763E2
1.872358976E2,9.774421997E2
1.872858976E2,9.774414062E2
1.873358976E2,9.774407959E2
1.873858976E2,9.774400635E2
1.874358976E2,9.774392090E2
1.874858976E2,9.774382935E2
