"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.263788358E2,4.330108643E1,-4.923477173E0,-1.375335693E0
6.264288358E2,4.314199829E1,-4.593032837E0,-3.338253021E0
6.264788358E2,4.174425507E1,-5.298233032E0,-1.804729462E0
6.265288358E2,4.317573166E1,-3.977050781E0,-2.646034241E0
6.265788358E2,4.269106674E1,-4.297363281E0,-3.625522614E0
6.266288358E2,4.260202789E1,-2.903564453E0,-3.223205566E0
6.266788358E2,4.270975494E1,-4.322143555E0,-1.667480469E0
6.267288358E2,4.156219482E1,-5.432891846E0,-4.042053223E0
6.267788358E2,4.239255142E1,-4.323287964E0,-2.649169922E0
6.268288358E2,4.161604691E1,-4.678390503E0,-1.953002930E0
6.268788358E2,4.143390274E1,-4.978103638E0,-3.489261627E0
6.269288358E2,4.106673431E1,-2.976516724E0,-2.816974640E0
6.269788358E2,4.253838348E1,-4.470977783E0,-2.785926819E0
6.270288358E2,4.186978912E1,-5.914535522E0,-1.936172485E0
6.270788358E2,4.309722137E1,-5.855102539E0,-2.345073700E0
6.271288358E2,4.237635040E1,-4.632171631E0,-2.925350189E0
6.271788358E2,4.161871719E1,-4.681930542E0,-1.673282623E0
6.272288358E2,4.193343353E1,-4.347122192E0,-2.373455048E0
6.272788358E2,4.179855347E1,-3.718429565E0,-3.221031189E0
6.273288358E2,4.057654572E1,-3.619873047E0,-2.953762054E0
6.273788358E2,4.093828583E1,-5.779449463E0,-3.484416962E0
6.274288358E2,3.991062164E1,-5.067001343E0,-1.824291229E0
6.274788358E2,3.960276031E1,-5.080520630E0,-1.826961517E0
6.275288358E2,4.136888885E1,-3.616134644E0,-5.694656372E-1
6.275788358E2,3.956475067E1,-6.186386108E0,-8.355484009E-1
6.276288358E2,3.913651657E1,-5.920806885E0,1.254806519E0
6.276788358E2,3.828628540E1,-3.746124268E0,-1.015743256E0
6.277288358E2,3.989682388E1,-5.874603271E0,2.824592590E-1
6.277788358E2,3.989682388E1,-5.874603271E0,2.824592590E-1
6.278288358E2,3.845899963E1,-3.599090576E0,2.425575256E-1
6.278788358E2,3.845899963E1,-3.599090576E0,2.425575256E-1
6.279288358E2,3.798509979E1,-3.768508911E0,-3.191146851E-1
6.279788358E2,3.828201294E1,-4.236007690E0,6.678886414E-1
6.280288358E2,3.574738312E1,-6.066101074E0,9.457168579E-1
6.280788358E2,3.627282333E1,-4.478393555E0,5.124435425E-1
6.281288358E2,3.587868500E1,-2.936584473E0,4.907379150E-1
6.281788358E2,3.492652893E1,-3.930358887E0,1.752082825E0
6.282288358E2,3.373033524E1,-3.040145874E0,1.171348572E0
6.282788358E2,3.240718460E1,-1.696914673E0,1.283264160E0
6.283288358E2,3.306216049E1,-7.308197021E-1,1.138122559E0
6.283788358E2,3.226135635E1,-1.549224854E0,1.420013428E0
6.284288358E2,3.315001678E1,1.134841919E0,1.816184998E0
6.284788358E2,3.345102310E1,8.271026611E-1,2.521690369E0
