"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.755896000E2,-2.110230736E-2,-1.911271736E-2,4.189553112E-2
3.756396000E2,-5.719305947E-2,3.494242206E-2,3.841407597E-2
3.756896000E2,-4.626985267E-2,-1.915486157E-2,9.457182605E-4
3.757396000E2,-4.237671942E-2,-1.308809780E-2,-5.326145515E-2
3.757896000E2,-2.146715112E-2,3.406762704E-2,-4.564137384E-2
3.758396000E2,-2.033011429E-2,-2.144161612E-2,2.694194391E-2
3.758896000E2,-1.857441291E-2,4.480190203E-2,6.421209872E-2
3.759396000E2,-4.279370420E-3,2.553408500E-3,-1.184126269E-2
3.759896000E2,5.447838455E-3,-2.498722076E-2,-5.181992054E-2
3.760396000E2,4.830166232E-3,7.632281631E-5,1.491354872E-2
3.760896000E2,2.273507789E-2,1.323581208E-2,4.327893257E-2
3.761396000E2,5.587090924E-2,2.669138834E-2,-4.898303188E-3
3.761896000E2,3.590258583E-2,-4.079983383E-2,-2.213407122E-2
3.762396000E2,2.073915675E-3,4.265782610E-2,2.472605556E-3
3.762896000E2,1.462329738E-2,-7.748451084E-2,4.393965472E-3
3.763396000E2,-1.029536407E-2,3.336922452E-2,-9.423951618E-3
3.763896000E2,4.462530836E-3,-6.688965857E-2,-1.163040940E-2
3.764396000E2,1.482628752E-2,7.013318688E-2,-2.274259552E-2
3.764896000E2,-7.933130488E-3,-5.283525959E-2,4.479576275E-2
3.765396000E2,1.725492068E-2,4.114301130E-2,2.175035328E-2
3.765896000E2,-5.263202824E-3,-4.966132715E-2,2.226131782E-2
3.766396000E2,2.442141622E-2,1.853791252E-2,-1.861713268E-2
3.766896000E2,2.668402158E-2,-3.398427740E-2,-7.747315615E-2
3.767396000E2,2.460643463E-2,2.939120680E-2,-4.575902969E-2
3.767896000E2,1.716761850E-2,-1.463370677E-2,5.490141362E-2
3.768396000E2,4.205736145E-2,2.309783176E-2,5.999988317E-2
3.768896000E2,2.492381446E-2,-1.324275229E-2,1.309758518E-2
3.769396000E2,-7.612028159E-3,3.304295242E-3,-1.180411689E-2
3.769896000E2,-7.434665225E-3,-5.048594903E-3,-1.589417644E-2
3.770396000E2,-2.185583301E-2,1.776183024E-2,2.214490063E-2
3.770896000E2,-5.690326914E-3,2.706345171E-3,-3.720606910E-3
3.771396000E2,5.058462732E-3,2.027864754E-2,-2.176953666E-2
3.771896000E2,9.179577231E-3,-2.620757371E-2,-1.206522528E-2
3.772396000E2,1.040932443E-2,2.759145573E-4,-1.918226480E-3
3.772896000E2,8.097667247E-3,-6.952825934E-4,2.363094129E-2
3.773396000E2,2.901166445E-3,-1.116027124E-5,2.969164215E-2
3.773896000E2,6.678297184E-3,3.081367910E-2,-8.111237548E-3
3.774396000E2,-1.471115043E-3,-5.329662189E-2,-2.885350026E-2
3.774896000E2,-2.032185532E-2,3.457640111E-2,-2.181185223E-2
3.775396000E2,-2.511564456E-2,-1.656876691E-2,2.200714126E-2
3.775896000E2,-3.010520525E-2,-2.621821687E-2,1.981645264E-2
3.776396000E2,-3.576393053E-2,3.953481093E-2,2.722255886E-4
3.776896000E2,-1.767599210E-2,6.479611620E-4,-4.730363190E-2
3.777396000E2,-2.768346854E-2,-2.698707581E-2,-3.193553910E-2
3.777896000E2,-4.246979952E-3,3.336348385E-2,8.291597478E-3
3.778396000E2,2.205004171E-2,-1.676980779E-2,5.121737719E-2
3.778896000E2,9.740770794E-3,-1.954422332E-3,4.057602584E-2
3.779396000E2,1.934374683E-2,-1.998595521E-2,-4.952535033E-2
3.779896000E2,-8.859545924E-3,1.116400305E-2,-3.048640303E-2
3.780396000E2,7.808313239E-4,2.386983112E-2,5.911725760E-2
3.780896000E2,-1.940002292E-2,-2.380844951E-2,3.309976077E-3
3.781396000E2,-6.063439883E-3,2.090554684E-2,-5.311648548E-2
3.781896000E2,-2.813684382E-2,-7.695422508E-3,1.170335989E-2
3.782396000E2,-2.288400196E-2,-2.389051393E-2,6.043489650E-2
3.782896000E2,-3.487099195E-3,1.781818690E-3,-1.073174085E-2
3.783396000E2,-1.945077814E-2,3.349543735E-2,-8.256749809E-2
3.783896000E2,-3.046084894E-3,-3.135479242E-2,-1.472747419E-2
3.784396000E2,-2.221691795E-2,5.440798029E-2,7.058665156E-2
3.784896000E2,-2.579425462E-2,-2.481050417E-2,5.186586082E-2
3.785396000E2,-7.401027717E-3,-3.263523802E-2,-4.581759125E-2
3.785896000E2,-2.205366455E-2,1.177331340E-2,-8.922378719E-2
3.786396000E2,-2.703138627E-2,-7.417324930E-3,-3.480241867E-3
3.786896000E2,-1.540866401E-2,3.474114463E-2,8.084377646E-2
3.787396000E2,-9.591488168E-3,-6.902229507E-4,5.496512353E-2
3.787896000E2,1.798940822E-2,-1.545984205E-2,-3.142758459E-2
3.788396000E2,1.489783358E-2,1.661448926E-2,-2.461531013E-2
3.788896000E2,-3.414428094E-3,-7.416940294E-3,3.210601583E-2
3.789396000E2,2.553830482E-2,3.554793075E-3,3.732919693E-2
3.789896000E2,2.924699150E-2,4.273982719E-2,-3.187537193E-2
3.790396000E2,2.506120875E-2,-3.297522664E-2,-2.470252849E-2
3.790896000E2,1.208923943E-2,2.954943106E-2,-1.454184670E-2
3.791396000E2,1.463943161E-2,-3.871355206E-2,-3.530100361E-2
3.791896000E2,-2.608813578E-3,1.836549118E-2,1.100974809E-2
3.792396000E2,3.447280964E-3,-8.486087900E-4,2.249992080E-2
